id_viagem;id_usuario;genero_usuario;ano_de_nacimiento;data_viagem;inicio_viagem;fim_viagem;id_origem;id_destino
41967212;4042443;M;1985;2025-12-01;05:18:54;05:26:23;225;201
41967213;4614046;M;2008;2025-12-01;05:19:44;05:24:22;271;36
41967214;4556145;F;1995;2025-12-01;05:19:55;05:30:03;236;267
41967215;4553247;M;1973;2025-12-01;05:21:16;05:25:28;281;283
41967216;1775527;M;1983;2025-12-01;05:21:17;05:27:42;11;333
41967219;2134157;M;1975;2025-12-01;05:22:12;05:31:00;341;265
41967221;4040020;M;1952;2025-12-01;05:22:28;05:27:30;51;65
41967223;4610130;M;2001;2025-12-01;05:22:51;05:40:09;265;303
41967227;4510520;M;1988;2025-12-01;05:24:02;05:37:26;182;281
41967228;762710;M;1972;2025-12-01;05:24:04;05:33:48;58;50
41967229;4575057;M;1993;2025-12-01;05:24:21;05:30:03;33;32
41967230;1365474;F;1975;2025-12-01;05:24:24;05:43:54;9;193
41967231;665533;M;1974;2025-12-01;05:25:39;05:36:30;172;77
41967232;1547015;M;1989;2025-12-01;05:25:42;05:34:06;23;58
41967234;4625167;M;1985;2025-12-01;05:26:11;05:39:37;80;35
41967235;1003605;M;1994;2025-12-01;05:26:28;05:28:31;263;371
41967236;2073732;M;1997;2025-12-01;05:27:06;05:32:55;363;265
41967237;1304;M;1976;2025-12-01;05:27:52;05:43:44;365;52
41967238;1673422;M;1963;2025-12-01;05:28:03;05:42:46;199;80
41967239;4573647;F;2000;2025-12-01;05:28:38;05:35:26;45;194
41967240;4630021;M;1974;2025-12-01;05:28:59;05:31:20;10;11
41967241;2316567;F;1982;2025-12-01;05:29:24;05:34:59;232;257
41967242;67430;M;1988;2025-12-01;05:30:40;05:36:38;347;11
41967243;4560356;M;1993;2025-12-01;05:31:02;05:50:44;216;26
41967244;4626410;M;2002;2025-12-01;05:31:08;05:46:10;347;21
41967245;1140726;M;1993;2025-12-01;05:31:10;05:34:56;79;32
41967246;4552766;M;2000;2025-12-01;05:31:13;05:35:44;290;288
41967247;4041327;F;2000;2025-12-01;05:32:37;05:36:57;288;293
41967248;64163;M;1986;2025-12-01;05:32:43;05:47:21;52;384
41967249;573122;M;1995;2025-12-01;05:33:10;05:41:29;155;16
41967250;7122;M;1975;2025-12-01;05:33:21;05:47:02;76;346
41967251;4571270;F;1992;2025-12-01;05:33:28;05:39:40;207;216
41967254;3370450;F;1972;2025-12-01;05:34:17;05:49:08;315;222
41967257;3477114;M;2000;2025-12-01;05:35:01;05:45:06;162;155
41967258;4532454;M;1972;2025-12-01;05:35:01;05:38:04;311;157
41967260;4460713;M;1974;2025-12-01;05:35:45;05:41:18;390;296
41967263;2613306;M;1980;2025-12-01;05:36:38;05:40:24;323;273
41967265;4560273;M;1972;2025-12-01;05:37:35;05:41:50;16;42
41967266;2673201;M;2005;2025-12-01;05:37:45;05:55:16;355;43
41967267;325762;M;1971;2025-12-01;05:39:03;05:43:03;172;31
41967268;4636753;F;2000;2025-12-01;05:39:11;05:58:19;322;248
41967269;1532625;F;1994;2025-12-01;05:39:17;05:56:58;171;303
41967270;1017051;M;1988;2025-12-01;05:39:51;05:42:41;157;311
41967271;4504024;F;2004;2025-12-01;05:40:14;05:47:56;169;32
41967272;4627304;M;1995;2025-12-01;05:40:49;05:45:36;112;340
41967273;4630552;F;1995;2025-12-01;05:40:58;05:45:49;112;340
41967274;4625167;M;1985;2025-12-01;05:41:26;05:46:23;35;271
41967275;657445;M;2001;2025-12-01;05:41:58;05:45:21;16;12
41967276;542204;M;1978;2025-12-01;05:42:01;05:53:11;371;346
41967277;4036343;M;1997;2025-12-01;05:43:16;05:58:04;265;75
41967278;2161542;M;1990;2025-12-01;05:43:22;05:48:23;54;80
41967279;4600514;M;1996;2025-12-01;05:43:36;05:49:48;170;11
41967280;4622211;F;1989;2025-12-01;05:43:40;05:50:15;78;81
41967281;573700;M;1982;2025-12-01;05:44:01;05:49:03;226;334
41967282;1055472;M;1982;2025-12-01;05:44:21;05:52:18;73;45
41967283;4545230;M;1999;2025-12-01;05:44:21;05:47:46;290;288
41967284;713545;M;1978;2025-12-01;05:44:43;05:59:17;39;78
41967285;564512;F;1994;2025-12-01;05:45:11;05:53:06;164;285
41967286;4026146;M;2002;2025-12-01;05:45:35;05:45:37;202;202
41967287;162677;F;1992;2025-12-01;05:45:36;05:54:47;8;38
41967288;2741266;M;1993;2025-12-01;05:45:41;05:49:21;335;397
41967289;255704;M;1981;2025-12-01;05:45:48;05:50:23;54;81
41967290;4026146;M;2002;2025-12-01;05:46:02;05:51:23;202;43
41967291;531011;M;1994;2025-12-01;05:46:26;05:58:47;11;86
41967292;3465625;M;1968;2025-12-01;05:46:43;05:59:45;363;172
41967293;4525441;M;1971;2025-12-01;05:46:56;06:01:23;266;30
41967294;404536;M;1978;2025-12-01;05:47:40;05:56:15;234;257
41967295;64163;M;1986;2025-12-01;05:47:50;06:02:38;384;156
41967296;4606467;M;2000;2025-12-01;05:48:23;05:51:51;287;102
41967297;4542742;M;1959;2025-12-01;05:48:26;05:54:31;28;175
41967298;703447;M;1976;2025-12-01;05:48:28;06:08:02;296;275
41967299;4625167;M;1985;2025-12-01;05:48:45;05:52:35;271;175
41967300;670172;M;1988;2025-12-01;05:48:51;05:56:14;400;58
41967301;1764342;M;1977;2025-12-01;05:49:09;05:59:40;354;265
41967302;4464700;F;2002;2025-12-01;05:49:25;05:57:40;400;59
41967303;4607173;F;1998;2025-12-01;05:49:43;05:53:53;363;157
41967304;1516732;M;1999;2025-12-01;05:49:51;05:56:14;136;135
41967305;1322525;M;1994;2025-12-01;05:49:52;05:56:49;257;376
41967306;3503266;M;1971;2025-12-01;05:50:01;06:05:23;320;125
41967307;2676435;F;1986;2025-12-01;05:51:25;05:55:56;102;294
41967308;2602151;F;2001;2025-12-01;05:51:30;05:59:27;11;42
41967309;700725;M;2001;2025-12-01;05:51:35;05:55:08;85;4
41967310;3477221;M;1995;2025-12-01;05:51:37;06:02:18;350;161
41967311;4504467;M;2001;2025-12-01;05:52:32;06:01:58;28;17
41967312;750450;F;1996;2025-12-01;05:52:53;05:57:49;61;39
41967313;1553461;M;1998;2025-12-01;05:52:55;05:56:03;78;77
41967314;3505144;M;1996;2025-12-01;05:52:57;06:04:03;11;303
41967315;2613306;M;1980;2025-12-01;05:53:24;05:57:38;110;111
41967316;4630222;M;2007;2025-12-01;05:53:36;06:01:38;6;371
41967317;67570;M;1987;2025-12-01;05:53:57;05:59:34;170;174
41967318;4630632;NULL;1970;2025-12-01;05:54:06;06:03:16;49;196
41967319;4625167;M;1985;2025-12-01;05:54:08;05:57:33;175;337
41967320;2544553;M;1997;2025-12-01;05:54:44;06:01:30;356;263
41967321;4617252;F;1997;2025-12-01;05:55:08;06:05:08;382;341
41967322;4604501;M;1995;2025-12-01;05:55:19;06:09:13;210;352
41967323;3470146;M;1981;2025-12-01;05:55:59;06:06:14;51;204
41967324;2137344;F;1989;2025-12-01;05:56:01;06:05:11;346;58
41967325;4604732;F;2001;2025-12-01;05:56:36;06:00:32;271;175
41967326;2704041;M;1973;2025-12-01;05:56:41;06:10:09;171;371
41967327;4524207;M;2005;2025-12-01;05:57:14;06:01:32;337;175
41967328;672243;M;1980;2025-12-01;05:57:15;06:00:52;290;108
41967329;4625467;M;1997;2025-12-01;05:57:20;06:05:21;51;42
41967330;1272437;M;1991;2025-12-01;05:57:22;06:00:35;34;173
41967331;4046155;M;2002;2025-12-01;05:57:44;06:08:15;291;111
41967332;1542070;M;1987;2025-12-01;05:57:46;06:02:24;74;80
41967333;1766542;M;1987;2025-12-01;05:58:13;06:04:25;284;278
41967334;4460713;M;1974;2025-12-01;05:58:18;05:59:58;171;10
41967335;626650;M;1988;2025-12-01;05:58:20;06:12:39;58;32
41967336;264470;M;1992;2025-12-01;05:58:27;06:12:25;17;276
41967337;4605623;M;2002;2025-12-01;05:58:41;06:03:06;178;271
41967338;2571765;M;1982;2025-12-01;05:58:42;06:08:32;64;268
41967339;564465;M;1989;2025-12-01;05:58:52;06:06:52;371;388
41967340;4060673;F;1994;2025-12-01;05:58:57;06:04:10;2;281
41967341;141725;M;1971;2025-12-01;05:58:58;06:05:28;269;346
41967342;4055346;M;1997;2025-12-01;05:59:19;06:05:59;357;263
41967343;71652;M;1975;2025-12-01;05:59:53;06:06:40;28;371
41967344;246763;M;1990;2025-12-01;06:00:41;06:03:18;373;248
41967345;1652415;M;1998;2025-12-01;06:00:57;06:04:24;362;267
41967346;4030577;M;2001;2025-12-01;06:00:58;06:03:44;81;58
41967347;4044632;M;1995;2025-12-01;06:01:51;06:07:51;16;11
41967348;4564062;M;1971;2025-12-01;06:01:52;06:02:02;60;60
41967349;4454775;M;1978;2025-12-01;06:01:58;06:27:27;325;50
41967350;4506672;M;1977;2025-12-01;06:02:12;06:15:37;35;284
41967351;4564062;M;1971;2025-12-01;06:02:33;06:18:32;60;273
41967352;1032502;F;1999;2025-12-01;06:02:43;06:23:19;198;78
41967353;4552342;M;1996;2025-12-01;06:02:45;06:09:35;260;282
41967354;733524;F;1969;2025-12-01;06:02:47;06:11:53;272;58
41967355;351442;M;1988;2025-12-01;06:02:58;06:07:02;311;157
41967356;1051703;F;1976;2025-12-01;06:02:59;06:12:20;5;157
41967357;4060552;M;1966;2025-12-01;06:03:23;06:19:52;131;185
41967358;1021337;F;1981;2025-12-01;06:04:01;06:24:36;118;266
41967359;633603;M;1980;2025-12-01;06:04:09;06:24:47;118;266
41967360;3367411;M;2001;2025-12-01;06:04:41;06:08:41;193;188
41967361;4605604;M;1973;2025-12-01;06:04:49;06:10:10;65;16
41967362;152414;M;1992;2025-12-01;06:05:12;06:08:06;63;40
41967363;2575067;F;1998;2025-12-01;06:05:48;06:08:14;304;157
41967364;2470174;M;1999;2025-12-01;06:06:00;06:15:08;232;400
41967365;4561040;M;2003;2025-12-01;06:06:42;06:08:29;67;45
41967366;4570636;F;1994;2025-12-01;06:06:57;06:09:13;269;6
41967367;4517562;M;1997;2025-12-01;06:07:19;06:17:00;376;28
41967368;4555760;M;2002;2025-12-01;06:07:24;06:27:53;51;215
41967369;4035774;M;1980;2025-12-01;06:07:26;06:13:04;58;53
41967370;4514304;M;2000;2025-12-01;06:07:39;06:10:55;25;79
41967371;4612355;F;2002;2025-12-01;06:08:15;06:12:27;162;273
41967372;4045330;M;2003;2025-12-01;06:08:18;06:14:19;235;257
41967373;1515161;M;1996;2025-12-01;06:08:23;06:21:46;337;35
41967374;703447;M;1976;2025-12-01;06:08:43;06:23:51;275;158
41967375;67315;M;1992;2025-12-01;06:08:51;06:25:57;58;16
41967376;4561040;M;2003;2025-12-01;06:09:10;06:21:20;45;260
41967377;262455;M;1967;2025-12-01;06:09:17;06:20:14;371;346
41967378;4630574;F;1999;2025-12-01;06:09:28;06:17:37;306;214
41967379;4537065;M;1992;2025-12-01;06:09:29;06:13:09;35;52
41967380;1473673;M;1986;2025-12-01;06:09:32;06:21:51;58;275
41967381;4542560;M;2002;2025-12-01;06:09:44;06:15:17;390;296
41967382;2076457;M;1991;2025-12-01;06:10:15;06:19:11;183;30
41967383;1254311;M;1977;2025-12-01;06:10:22;06:21:24;288;291
41967384;1261475;M;1999;2025-12-01;06:10:34;06:20:57;168;195
41967385;147505;F;1990;2025-12-01;06:11:00;06:18:03;377;266
41967386;1175642;M;1981;2025-12-01;06:11:05;06:23:28;33;86
41967387;224725;M;1990;2025-12-01;06:11:06;06:17:59;377;266
41967388;3460675;M;1966;2025-12-01;06:11:36;06:22:08;182;161
41967389;4536141;M;2002;2025-12-01;06:11:41;06:16:38;62;32
41967390;604540;M;1985;2025-12-01;06:12:02;06:12:04;376;143
41967391;1122071;M;1985;2025-12-01;06:12:25;06:22:35;260;24
41967392;771012;M;1989;2025-12-01;06:12:27;06:38:14;216;28
41967393;625674;F;1989;2025-12-01;06:12:37;06:23:35;271;52
41967394;142376;F;1994;2025-12-01;06:12:40;06:19:41;93;110
41967395;3340076;F;2005;2025-12-01;06:12:46;06:15:48;156;11
41967396;1342146;M;2000;2025-12-01;06:12:51;06:20:40;268;283
41967397;4637606;M;1999;2025-12-01;06:12:54;06:22:57;58;8
41967398;626650;M;1988;2025-12-01;06:13:10;06:22:34;32;192
41967399;4601253;M;1992;2025-12-01;06:13:19;06:17:15;377;330
41967400;4033712;M;1990;2025-12-01;06:13:19;06:15:58;257;365
41967401;4513454;M;2003;2025-12-01;06:13:47;06:21:14;35;24
41967402;4462574;M;1994;2025-12-01;06:13:48;06:25:10;165;169
41967403;4554625;F;2003;2025-12-01;06:13:53;06:21:44;164;160
41967404;4044456;M;1991;2025-12-01;06:14:32;06:23:43;43;183
41967405;4560631;M;1989;2025-12-01;06:14:33;06:17:53;290;288
41967406;4617373;M;1976;2025-12-01;06:14:36;06:32:34;396;21
41967407;2064673;M;1992;2025-12-01;06:14:47;06:20:26;3;254
41967408;63537;M;1971;2025-12-01;06:14:48;06:18:22;74;81
41967409;500057;M;1978;2025-12-01;06:15:06;06:28:18;165;160
41967410;353510;M;1962;2025-12-01;06:15:14;06:19:37;156;24
41967411;4567461;NULL;1990;2025-12-01;06:15:11;06:35:05;94;40
41967412;2675126;M;1996;2025-12-01;06:15:15;06:20:28;353;371
41967413;2161542;M;1990;2025-12-01;06:15:24;06:26:50;135;140
41967414;1521427;M;1990;2025-12-01;06:15:39;06:22:10;172;158
41967415;553245;M;1994;2025-12-01;06:16:09;06:29:20;216;132
41967418;4624463;F;1985;2025-12-01;06:16:42;06:26:15;30;28
41967421;3374416;M;2000;2025-12-01;06:16:49;06:34:48;295;266
41967423;1364542;M;2001;2025-12-01;06:16:58;06:27:10;247;271
41967425;2331456;M;1976;2025-12-01;06:17:42;06:28:02;368;175
41967426;1577425;M;1980;2025-12-01;06:17:43;06:21:14;230;257
41967428;1176236;F;1992;2025-12-01;06:17:45;06:20:15;311;157
41967429;214340;M;1970;2025-12-01;06:17:51;06:22:56;392;157
41967432;4577304;M;2002;2025-12-01;06:18:30;06:24:52;173;36
41967433;466056;M;1992;2025-12-01;06:18:31;06:20:53;150;145
41967435;2075701;M;1980;2025-12-01;06:18:48;06:31:50;18;46
41967436;405600;M;1988;2025-12-01;06:19:01;06:21:53;345;344
41967437;670503;F;1995;2025-12-01;06:19:02;06:23:01;290;288
41967438;2753751;M;1986;2025-12-01;06:19:11;06:30:07;148;270
41967439;4575206;M;1967;2025-12-01;06:19:13;06:31:56;29;272
41967440;4623674;F;1993;2025-12-01;06:19:40;06:30:10;148;270
41967441;127204;M;1987;2025-12-01;06:19:49;06:21:38;36;54
41967442;2372357;M;1975;2025-12-01;06:19:53;06:33:06;312;194
41967443;2547727;M;1998;2025-12-01;06:20:04;06:25:12;255;11
41967444;626273;M;1966;2025-12-01;06:20:01;06:32:09;175;52
41967445;4570600;M;2005;2025-12-01;06:20:08;06:24:11;76;35
41967446;2306045;M;1999;2025-12-01;06:20:09;06:22:55;354;333
41967447;741130;F;1968;2025-12-01;06:20:31;06:28:41;88;4
41967448;213466;F;1969;2025-12-01;06:20:49;06:28:53;175;10
41967449;2613272;M;2003;2025-12-01;06:21:08;06:27:59;335;248
41967450;4563711;F;1998;2025-12-01;06:21:15;06:24:59;365;257
41967451;372672;M;1993;2025-12-01;06:21:37;06:24:16;88;4
41967452;4554515;M;2000;2025-12-01;06:21:46;06:23:15;60;60
41967453;1515161;M;1996;2025-12-01;06:22:06;06:37:49;35;44
41967454;3354065;M;1982;2025-12-01;06:22:13;06:33:30;361;263
41967455;4632546;M;2000;2025-12-01;06:22:17;06:35:50;210;281
41967456;466056;M;1992;2025-12-01;06:21:37;06:25:15;145;267
41967457;2512620;M;2003;2025-12-01;06:22:35;06:27:55;54;346
41967458;1643152;F;1987;2025-12-01;06:23:07;06:42:26;311;246
41967459;4505261;NULL;2001;2025-12-01;06:23:28;06:27:24;249;157
41967460;4523500;M;2006;2025-12-01;06:23:30;06:25:56;164;174
42023033;2463365;M;1995;2025-12-04;14:26:19;14:38:31;168;21
42023034;601667;F;1997;2025-12-04;14:26:21;14:38:33;168;21
42023035;142062;M;1989;2025-12-04;14:26:22;14:38:13;43;14
42023036;445070;F;1985;2025-12-04;14:26:22;14:49:15;45;35
42023037;1143002;M;1999;2025-12-04;14:26:25;14:31:06;64;51
42023038;4622742;F;1993;2025-12-04;14:26:26;14:34:58;194;395
42023039;4624615;M;2004;2025-12-04;14:26:31;14:32:09;17;244
42023040;2710177;M;1996;2025-12-04;14:26:31;14:31:32;62;73
42023041;4562751;M;1970;2025-12-04;14:26:35;14:38:09;35;81
42023042;4466773;F;2001;2025-12-04;14:26:49;14:44:43;189;75
42023043;1345641;M;1989;2025-12-04;14:26:53;14:51:57;58;58
42023044;4467664;M;1989;2025-12-04;14:22:52;14:23:14;198;198
42023045;4467664;M;1989;2025-12-04;14:23:28;14:39:35;198;130
42023046;4557102;M;1983;2025-12-04;14:26:54;14:32:28;35;260
42023047;2427270;F;1988;2025-12-04;14:27:03;14:30:32;203;253
42023048;2722343;F;1988;2025-12-04;14:27:11;14:31:32;256;371
42023049;4545616;M;2003;2025-12-04;14:27:17;14:35:35;52;78
42023050;4572346;F;1996;2025-12-04;14:27:23;14:32:33;393;280
42023051;405740;M;1979;2025-12-04;14:27:24;14:44:24;400;400
42023052;4040103;F;2001;2025-12-04;14:27:26;14:37:14;171;248
42023053;422262;M;1981;2025-12-04;14:27:30;14:29:51;157;359
42023054;4026237;M;1973;2025-12-04;14:27:31;14:36:13;150;153
42023055;655702;M;1982;2025-12-04;14:27:34;14:36:42;265;377
42023056;636751;M;1993;2025-12-04;14:27:37;14:29:21;171;271
42023057;1355506;M;1989;2025-12-04;14:27:40;14:35:57;215;206
42023058;4616631;M;1973;2025-12-04;14:27:38;14:37:02;257;366
